countries,goals
Brazil,237
Germany,232
Argentina,152
France,136
Italy,128
Spain,108
England,104
Netherlands,96
Uruguay,89
Hungary,87
Sweden,80
Belgium,69
Mexico,62
Portugal,61
Yugoslavia,60
Switzerland,55
Soviet Union,53
Poland,49
Czechoslovakia,44
Austria,43
Croatia,43
Chile,40
USA,37
Colombia,32
Denmark,31
Korea Republic,31
Paraguay,30
Romania,30
Japan,25
Scotland,25
Russia,24
Nigeria,23
Costa Rica,22
Cameroon,22
Bulgaria,22
Peru,21
Turkey,20
Morocco,20
Ghana,18
Australia,17
Senegal,16
Saudi Arabia,14
Tunisia,14
Ecuador,14
Algeria,13
C̫te d'Ivoire,13
Northern Ireland,13
South Africa,11
Iran,11
Republic of Ireland,10
Serbia,9
South Korea,8
Norway,7
Korea DPR,6
Slovakia,5
Slovenia,5
Greece,5
Wales,5
German DR,5
Cuba,5
Ukraine,5
Egypt,5
New Zealand,4
Bosnia and Herzegovina,4
Jamaica,3
Czech Republic,3
United States,3
Honduras,3
Serbia and Montenegro,2
Canada,2
United Arab Emirates,2
Haiti,2
Panama,2
Kuwait,2
Iceland,2
IR Iran,2
Qatar,1
Togo,1
Israel,1
Bolivia,1
El Salvador,1
Iraq,1
Angola,1
China PR,0
Dutch East Indies,0
Trinidad and Tobago,0
Zaire,0
