Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Score Penalties,Attendance,Round_ID,Half-time Home Goals,Half-time Away Goals,Home Team Initials,Away Team Initials,vs
1950,"16 Jul, 50",Group 6,Maracan Stadium,Rio De Janeiro,Uruguay,2,1,Brazil,0-0,173850,204,0,0,URU,BRA,Uruguay vs Brazil
1950,"13 Jul, 50",Group 6,Maracan Stadium,Rio De Janeiro,Brazil,6,1,Spain,0-0,152772,204,3,0,BRA,ESP,Brazil vs Spain
1950,"01 Jul, 50",Group 1,Maracan Stadium,Rio De Janeiro,Brazil,2,0,Yugoslavia,0-0,142429,204,1,0,BRA,YUG,Brazil vs Yugoslavia
1950,"09 Jul, 50",Group 6,Maracan Stadium,Rio De Janeiro,Brazil,7,1,Sweden,0-0,138886,204,3,0,BRA,SWE,Brazil vs Sweden
1986,"07 Jun, 86",Group B,Estadio Azteca,Mexico City,Mexico,1,1,Paraguay,0-0,114600,213,1,0,MEX,PAR,Mexico vs Paraguay
1986,"29 Jun, 86",Final,Estadio Azteca,Mexico City,Argentina,3,2,Germany,0-0,114600,213,1,0,ARG,FRG,Argentina vs Germany
1986,"22 Jun, 86",Quarter-finals,Estadio Azteca,Mexico City,Argentina,2,1,England,4â€“5,114580,213,0,0,ARG,ENG,Argentina vs England
1986,"15 Jun, 86",Round of 16,Estadio Azteca,Mexico City,Mexico,2,0,Bulgaria,0-0,114580,213,1,0,MEX,BUL,Mexico vs Bulgaria
1986,"25 Jun, 86",Semi-finals,Estadio Azteca,Mexico City,Argentina,2,0,Belgium,0-0,114500,213,0,0,ARG,BEL,Argentina vs Belgium
1986,"03 Jun, 86",Group B,Estadio Azteca,Mexico City,Belgium,1,2,Mexico,0-0,110000,213,1,2,BEL,MEX,Belgium vs Mexico
